***********************************************************
******Simulation Results Single Damper System**************

Time	Disp	Vel	Acc	Force
0.50400000	-62.38229718	-0.12413380	-0.20370728	25.53255724
0.50600000	-62.13444861	-0.12452386	-0.18636903	23.17230654
0.50800000	-61.88578517	-0.12487935	-0.16914092	20.82759798
0.51000000	-61.63637622	-0.12520050	-0.15202626	18.49887572
0.51200000	-61.38629067	-0.12548753	-0.13502829	16.18657591
0.51400000	-61.13559697	-0.12574069	-0.11815019	13.89112667
0.51600000	-60.88436313	-0.12596021	-0.10139509	11.61294804
0.51800000	-60.63265664	-0.12614635	-0.08476604	9.35245198
0.52000000	-60.38054453	-0.12629936	-0.06826607	7.11004232
0.52200000	-60.12809331	-0.12641951	-0.05189812	4.88611471
0.52400000	-59.87536898	-0.12650705	-0.03566507	2.68105664
0.52600000	-59.62243702	-0.12656226	-0.01956976	0.49524739
0.52800000	-59.36936234	-0.12658542	-0.00361494	-1.67094198
0.53000000	-59.11620935	-0.12657681	0.01219666	-3.81714865
0.53200000	-58.86304185	-0.12653673	0.02786240	-5.94301809
0.53400000	-58.60992308	-0.12646546	0.04337969	-8.04820400
0.53600000	-58.35691571	-0.12636331	0.05874601	-10.13236839
0.53800000	-58.10408182	-0.12623058	0.07395889	-12.19518155
0.54000000	-57.85148285	-0.12606758	0.08901592	-14.23632208
0.54200000	-57.59917967	-0.12587462	0.10391476	-16.25547689
0.54400000	-57.34723251	-0.12565203	0.11865312	-18.25234118
0.54600000	-57.09570094	-0.12540012	0.13322877	-20.22661849
0.54800000	-56.84464394	-0.12511922	0.14763955	-22.17802063
0.55000000	-56.59411979	-0.12480967	0.16188336	-24.10626775
0.55200000	-56.34418615	-0.12447180	0.17595816	-26.01108828
0.55400000	-56.09489999	-0.12410595	0.18986196	-27.89221896
0.55600000	-55.84631760	-0.12371247	0.20359284	-29.74940480
0.55800000	-55.59849460	-0.12329170	0.21714894	-31.58239909
0.56000000	-55.35148591	-0.12284399	0.23052846	-33.39096337
0.56200000	-55.10534576	-0.12236970	0.24372966	-35.17486742
0.56400000	-54.86012767	-0.12186919	0.25675086	-36.93388928
0.56600000	-54.61588443	-0.12134282	0.26959043	-38.66781517
0.56800000	-54.37266814	-0.12079095	0.28224683	-40.37643950
