"ADAMS/View model name: TP_6572N_vRoad_N45_nlParameter"
	"2016-04-"	"9 16:19:45"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"DYSensor4_MR4_ver"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

"TIME      "	"Q         "
7.290000e-001	4.290201e+000
7.300000e-001	4.295191e+000
7.309083e-001	4.299886e+000
7.310000e-001	4.300369e+000
7.314173e-001	4.302585e+000
7.317031e-001	4.304122e+000
7.320000e-001	4.305735e+000
7.330000e-001	4.311301e+000
7.340000e-001	4.317078e+000
7.350000e-001	4.323085e+000
7.360000e-001	4.329340e+000
7.370000e-001	4.335853e+000
7.380000e-001	4.342629e+000
7.390000e-001	4.349668e+000
7.400000e-001	4.356967e+000
7.410000e-001	4.364523e+000
7.420000e-001	4.372332e+000
7.430000e-001	4.380392e+000
7.440000e-001	4.388701e+000
7.450000e-001	4.397256e+000
7.460000e-001	4.406055e+000
7.470000e-001	4.415094e+000
7.480000e-001	4.424371e+000
7.490000e-001	4.433880e+000
7.500000e-001	4.443616e+000
7.510000e-001	4.453572e+000
7.520000e-001	4.463740e+000
7.530000e-001	4.474112e+000
7.540000e-001	4.484679e+000
7.550000e-001	4.495430e+000
7.560000e-001	4.506354e+000
7.570000e-001	4.517442e+000
7.580000e-001	4.528679e+000
7.590000e-001	4.540055e+000
7.600000e-001	4.551557e+000
7.610000e-001	4.563170e+000
7.620000e-001	4.574882e+000
7.630000e-001	4.586678e+000
7.640000e-001	4.598545e+000
7.650000e-001	4.610466e+000
7.660000e-001	4.622428e+000
7.670000e-001	4.634414e+000
7.680000e-001	4.646409e+000
7.690000e-001	4.658396e+000
7.700000e-001	4.670359e+000
7.710000e-001	4.682280e+000
7.720000e-001	4.694143e+000
7.730000e-001	4.705930e+000
7.740000e-001	4.717620e+000
7.750000e-001	4.729202e+000
7.760000e-001	4.740656e+000
7.770000e-001	4.751966e+000
7.780000e-001	4.763115e+000
