m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,10005	1,45328	-0,09716	-0,23418	-0,08988	0,02323	-0,38432	-0,06691	0,03894	-0,38870
0,03393	1,28841	-0,51560	-0,39985	-0,08457	0,02349	-0,52578	-0,12170	0,05233	-0,54069
0,18471	1,14211	-0,79953	-0,53699	0,04981	0,01672	-0,59556	0,06420	0,03103	-0,58311
0,09010	1,07557	-0,87052	-0,63839	-0,12237	-0,02094	-0,65511	-0,11358	-0,01047	-0,69798
0,07388	1,05352	-0,94740	-0,69454	-0,05916	0,00562	-0,58178	-0,08431	0,03042	-0,58504
0,13708	1,06966	-0,93576	-0,70635	0,01125	-0,01915	-0,53311	0,01740	-0,00377	-0,56506
0,05383	1,12138	-0,75656	-0,67556	-0,10505	0,01328	-0,42212	-0,09128	0,02872	-0,44942
0,12221	1,22930	-0,56685	-0,60557	0,00291	0,00498	-0,27231	-0,01650	0,02823	-0,29832
0,15029	1,33971	-0,30469	-0,50597	-0,00468	0,00013	-0,13173	0,01779	0,01911	-0,16231
0,05839	1,49453	-0,00526	-0,38636	-0,05537	0,00000	0,01972	-0,03906	0,01911	-0,03262
0,13870	1,63823	0,24904	-0,25575	0,06915	0,00217	0,20050	0,08947	0,02714	0,19583
0,09781	1,78565	0,59768	-0,13018	-0,02453	-0,04506	0,28900	-0,00039	-0,02458	0,21555
0,09477	1,90326	0,87133	-0,01644	0,01239	-0,00613	0,42313	0,05350	0,01813	0,40236
0,22542	1,99992	1,09182	0,07259	0,10442	-0,03664	0,48457	0,14400	-0,01825	0,45290
0,09427	2,07411	1,25057	0,12858	-0,05398	-0,03089	0,47015	-0,02359	-0,00706	0,39630
0,13677	2,07172	1,18195	0,15164	0,06839	0,00357	0,49784	0,09733	0,03931	0,50846
0,18471	2,04534	1,14958	0,13496	0,05853	-0,02260	0,34727	0,10236	-0,01266	0,27885
0,04716	1,96766	0,96951	0,08706	-0,06713	-0,01123	0,26080	-0,05943	0,02105	0,23863
0,15250	1,83755	0,65552	0,01329	0,07181	-0,00306	0,13514	0,09940	0,02702	0,12763
0,16526	1,70607	0,44185	-0,07879	-0,01024	-0,03906	-0,06574	0,02243	-0,02702	-0,11177
0,07398	1,57924	0,16427	-0,17521	-0,07775	0,01353	-0,13565	-0,08728	0,05002	-0,12467
0,18826	1,51732	-0,02109	-0,27052	0,05095	-0,01264	-0,20328	0,06175	0,01010	-0,22858
0,14383	1,46682	-0,03039	-0,35773	-0,05537	0,00166	-0,22996	-0,02076	0,01631	-0,24714
0,08471	1,47474	-0,05701	-0,43317	-0,04728	0,01008	-0,20834	-0,06717	0,03468	-0,24314
0,15792	1,48091	-0,06130	-0,49634	0,03628	-0,00128	-0,14766	0,05750	0,01801	-0,14375
0,09987	1,53089	0,08404	-0,55153	-0,06953	-0,02170	-0,14462	-0,04280	-0,01266	-0,21311
0,09724	1,55951	0,09872	-0,59668	-0,00291	0,01877	-0,05702	-0,00683	0,04235	-0,05621
0,14630	1,57370	0,13789	-0,63793	0,01555	-0,02502	-0,07117	0,03107	-0,01193	-0,11835
0,06172	1,57823	0,18979	-0,67516	-0,07800	0,00128	-0,06435	-0,05608	0,01679	-0,10430
0,10341	1,56755	0,08622	-0,70705	0,03982	0,00357	-0,02870	0,04138	0,02653	-0,03726
0,12911	1,55549	0,12305	-0,73704	-0,01112	-0,02923	-0,09064	0,00761	-0,01911	-0,14645
0,04836	1,54279	0,10172	-0,76065	-0,07636	-0,00026	-0,06536	-0,06433	0,02166	-0,08199
0,15982	1,54518	0,05773	-0,77874	0,06270	0,00868	-0,05158	0,07787	0,02872	-0,07336
0,12760	1,54391	0,13573	-0,79233	-0,04715	-0,01608	-0,07560	-0,03326	-0,00110	-0,12376
0,07055	1,55786	0,15846	-0,79939	-0,05929	0,01047	-0,03489	-0,05466	0,03213	-0,06021
0,20917	1,56289	0,14391	-0,80138	0,08584	-0,00906	-0,03198	0,11203	0,00195	-0,06614
0,07370	1,53633	0,12247	-0,79924	-0,07623	-0,02208	-0,05815	-0,05995	-0,00377	-0,09966
0,04365	1,52560	0,04651	-0,79001	-0,03009	-0,00485	-0,05348	-0,03636	0,01972	-0,08663
0,16055	1,50534	-0,00495	-0,77329	0,06157	-0,01174	-0,06940	0,09450	-0,00024	-0,09192
0,03461	1,50458	-0,00065	-0,74961	-0,09267	-0,00689	-0,08660	-0,08470	0,01363	-0,13150
0,08773	1,52604	0,00654	-0,71656	0,01568	0,01468	-0,01542	0,01444	0,04332	-0,02604
0,17888	1,56190	0,15453	-0,67846	0,04235	-0,01302	0,00076	0,07722	-0,00304	-0,04074
0,08120	1,63083	0,30854	-0,63752	-0,06675	-0,00421	0,06675	-0,05621	0,01996	0,01895
0,14292	1,67729	0,34557	-0,59653	0,06182	-0,00153	0,14892	0,07142	0,02726	0,13537
0,12469	1,72169	0,48503	-0,56299	-0,00923	-0,03600	0,12629	0,02243	-0,02470	0,05737
0,05875	1,74930	0,51349	-0,53576	-0,03047	-0,00191	0,17155	-0,01728	0,02483	0,14542
0,16831	1,75380	0,50570	-0,51915	0,08205	-0,02055	0,17433	0,10185	-0,00085	0,15483
0,11005	1,75247	0,57349	-0,51512	-0,05600	-0,03217	0,09330	-0,02862	-0,02191	0,01379
0,11000	1,69620	0,42128	-0,51702	0,00190	0,00957	0,09595	0,00851	0,03980	0,09695
0,20094	1,64044	0,31258	-0,52710	0,06207	-0,00957	0,00493	0,08728	0,00402	-0,02810
0,05391	1,59904	0,23464	-0,53988	-0,10328	-0,01787	-0,06586	-0,09321	-0,00024	-0,12183
0,12693	1,53031	0,06466	-0,54748	0,03274	0,01762	-0,07307	0,03687	0,04272	-0,06575
0,18792	1,48737	-0,02586	-0,55046	0,02693	-0,03485	-0,17029	0,04963	-0,02495	-0,22522
0,05479	1,42375	-0,12154	-0,54087	-0,10025	-0,00166	-0,18027	-0,09360	0,02264	-0,19325
0,15404	1,41479	-0,20612	-0,51645	0,04526	-0,00894	-0,17800	0,04087	0,01363	-0,20911
0,16849	1,39799	-0,16591	-0,47632	-0,01441	-0,00600	-0,16940	0,01624	0,01059	-0,19403
0,05729	1,44953	-0,07930	-0,42069	-0,07977	0,00485	-0,10720	-0,08921	0,02799	-0,15071
0,17539	1,52219	0,01698	-0,35165	0,08015	0,00255	0,00291	0,09785	0,02629	-0,01560
0,13599	1,59320	0,25539	-0,27748	-0,02908	-0,02655	0,05562	0,00503	-0,01168	0,00451
0,05893	1,67391	0,38195	-0,20175	-0,02301	-0,00855	0,12035	-0,01869	0,01120	0,06188
0,17602	1,68430	0,39839	-0,12762	0,09254	-0,02451	0,16359	0,12054	-0,00304	0,15342
0,08523	1,69250	0,46414	-0,06182	-0,07648	-0,03128	0,08457	-0,04925	-0,01643	0,00425
0,09966	1,65872	0,34177	0,00146	0,01681	0,01085	0,11618	0,01495	0,04649	0,11938
0,21805	1,62667	0,35042	0,05822	0,06232	-0,00664	0,05120	0,09063	0,00694	0,01457
0,09234	1,65820	0,41469	0,11111	-0,08799	-0,00574	0,07396	-0,07400	0,02069	0,03300
0,15432	1,71227	0,43357	0,15959	0,07990	0,00677	0,19507	0,09566	0,04138	0,20718
0,17206	1,82172	0,69688	0,19343	0,03540	-0,04353	0,19709	0,07013	-0,03809	0,11525
0,05224	1,89633	0,84891	0,21296	-0,04994	-0,01596	0,30480	-0,03275	0,01412	0,29291
0,18161	1,94932	0,91016	0,20867	0,11466	-0,03791	0,32199	0,14194	-0,01460	0,28234
0,11151	1,94198	0,96302	0,17780	-0,03780	-0,04366	0,25790	0,00284	-0,02446	0,20769
0,07448	1,89539	0,84414	0,12304	-0,01719	0,00102	0,20745	-0,01624	0,03055	0,18668
0,22326	1,82961	0,69596	0,04528	0,09368	-0,00383	0,11466	0,12209	0,01339	0,09360
0,07326	1,72508	0,51516	-0,04948	-0,09987	-0,00753	-0,02048	-0,07929	0,01314	-0,06317
0,09526	1,62740	0,25880	-0,15053	0,00000	0,02208	-0,08407	-0,00877	0,05318	-0,08225
0,20013	1,53857	0,09107	-0,25425	0,05866	-0,01621	-0,18230	0,08612	-0,00560	-0,20150
0,03625	1,47904	-0,02591	-0,35286	-0,11757	-0,02208	-0,25284	-0,10584	-0,00243	-0,29510
0,08438	1,52268	-0,10815	-0,44070	0,00695	0,01557	0,03729	0,00799	0,10113	0,15213
0,10057	1,89411	0,85716	-0,54481	-0,01403	0,01800	0,35916	0,01470	0,05111	0,31779
0,05130	2,54667	2,20578	-0,68651	0,02554	0,00587	0,96066	0,06588	0,02787	0,89896
0,20531	3,11250	3,34031	-0,90606	0,22604	-0,07340	1,52070	0,31096	-0,04065	1,52758
0,17958	3,59654	4,39510	-1,25507	0,11087	-0,17553	1,76229	0,22226	-0,14640	1,64515
0,18331	3,82758	5,03164	-1,76345	0,20910	-0,14859	1,83384	0,30438	-0,16162	1,81842
0,11914	3,65833	4,49529	-2,44158	0,03135	-0,22455	1,08316	0,07464	-0,25812	0,77262
-0,12451	2,58083	2,28354	-3,23681	-0,22996	0,07238	0,23249	-0,22819	0,13557	0,42570
0,04677	1,52440	-0,07932	-4,11014	-0,03679	0,19149	-1,12602	-0,09966	0,19107	-1,22603
0,17359	0,37391	-2,43117	-4,96039	-0,09481	0,24115	-2,11310	-0,12402	0,23768	-2,02173
-0,04503	-0,81964	-4,79685	-5,69582	-0,41086	0,08668	-3,28097	-0,52664	0,05635	-3,31558
0,00380	-1,97852	-7,32445	-6,21073	-0,32465	-0,02923	-4,30788	-0,49119	-0,07606	-4,38806
0,10529	-3,17906	-9,86411	-6,40477	-0,32996	0,06408	-4,84099	-0,42557	0,07034	-4,62670
-0,08380	-3,76359	-11,09214	-6,22446	-0,52363	0,04647	-5,17271	-0,71628	0,03164	-5,26099
-0,05401	-3,77833	-11,07318	-5,61144	-0,35499	0,25978	-4,37640	-0,50795	0,27431	-4,18502
0,03232	-3,01326	-9,41206	-4,59197	-0,20771	0,22289	-3,32901	-0,31689	0,20384	-3,45262
0,09268	-1,75711	-6,69055	-3,21760	-0,04425	0,22749	-1,51754	-0,05879	0,25459	-1,47910
0,06789	0,07169	-2,87815	-1,60952	0,06624	-0,07162	0,55068	0,07116	-0,01996	0,47636
0,11633	2,35602	1,98534	0,08575	0,25625	-0,24178	2,82978	0,38148	-0,20105	2,63114
0,28404	4,70885	6,94003	1,69371	0,55144	-0,25685	5,16475	0,80034	-0,20092	5,10448
0,19367	6,96404	11,63651	3,01680	0,49847	-0,33574	6,78987	0,74336	-0,28976	6,47619
0,15638	8,51383	14,94260	3,90915	0,56623	-0,21344	7,79352	0,82844	-0,14920	7,61275
0,30005	9,19505	16,25901	4,25373	0,67369	-0,07813	7,61615	0,96355	-0,04089	7,41770
0,13076	8,79576	15,28555	4,01235	0,39392	-0,05157	6,40505	0,59458	0,00584	6,25754
0,15768	7,37854	12,20685	3,22677	0,38748	-0,03511	4,37981	0,51813	0,01740	4,37401
0,22284	5,36208	7,91456	2,00204	0,22364	-0,14285	1,91159	0,34538	-0,10478	1,97313
0,14039	3,11469	3,19701	0,49082	-0,04640	-0,17323	-0,53829	-0,01740	-0,12523	-0,43562
0,15474	0,94906	-1,28612	-1,12879	-0,11125	-0,08119	-2,63686	-0,20344	-0,05343	-2,47811
0,15768	-0,86047	-5,08487	-2,69448	-0,26422	0,03294	-4,25099	-0,36497	0,02860	-4,10998
0,02938	-2,23221	-7,87630	-4,06199	-0,45372	0,10979	-5,24566	-0,61366	0,09894	-5,11737
0,00159	-3,10542	-9,68305	-5,11994	-0,46421	0,23081	-5,70646	-0,68753	0,19399	-5,64207
-0,03768	-3,59049	-10,64000	-5,79167	-0,52022	0,26463	-5,72757	-0,73446	0,21881	-5,69197
-0,03276	-3,76612	-10,98904	-6,03779	-0,46560	0,28302	-5,39648	-0,63055	0,23877	-5,38243
-0,00203	-3,62747	-10,65240	-5,84909	-0,39860	0,19378	-4,80913	-0,59149	0,15407	-4,83813
-0,04104	-3,17289	-9,62951	-5,23754	-0,41213	0,16276	-3,85062	-0,53837	0,14835	-3,85266
0,06846	-2,30221	-7,83174	-4,25262	-0,15120	0,09051	-2,54685	-0,21182	0,08446	-2,57635
0,12404	-0,98003	-5,09372	-2,97431	0,00202	-0,01928	-0,93374	-0,00026	0,00000	-1,01022
0,09146	0,69964	-1,52099	-1,51478	0,07080	-0,14234	1,00175	0,11951	-0,09736	0,94769
0,11224	2,72727	2,72339	-0,01311	0,23982	-0,16544	2,92156	0,36162	-0,12924	2,71932
0,25607	4,71430	6,92393	1,37873	0,45486	-0,14183	4,83998	0,64718	-0,07655	4,76877
0,17143	6,47570	10,62688	2,49629	0,40454	-0,17847	6,03401	0,61108	-0,13326	5,74676
0,18169	7,62482	12,98086	3,22624	0,50644	-0,10557	6,67976	0,73949	-0,04345	6,55999
0,24344	7,98995	13,67786	3,47969	0,48950	-0,12753	6,34778	0,72866	-0,06973	6,17748
0,17534	7,50263	12,59247	3,24023	0,35751	-0,15702	5,11380	0,54185	-0,11805	4,95287
0,23867	6,15784	9,71005	2,55885	0,34437	-0,10123	3,45416	0,49428	-0,04284	3,56787
0,16000	4,52076	6,20971	1,51960	0,07433	-0,20681	1,23171	0,14607	-0,19046	1,12573
0,11904	2,56846	2,16440	0,27065	-0,04210	-0,01545	-0,62375	-0,04590	0,04199	-0,39952
0,16104	0,80831	-1,61021	-1,05335	-0,09621	0,01762	-2,50703	-0,17340	0,02264	-2,49061
0,07956	-0,74060	-4,81018	-2,30385	-0,31769	0,09804	-3,76832	-0,41538	0,11221	-3,59546
-0,00076	-1,90828	-7,21531	-3,36662	-0,41339	0,12638	-4,60281	-0,57163	0,11890	-4,50113
0,04383	-2,60471	-8,63253	-4,14809	-0,38204	0,14540	-5,06867	-0,56029	0,09882	-5,10731
0,05482	-3,09943	-9,59000	-4,57579	-0,40846	0,21357	-4,87120	-0,54636	0,21297	-4,68574
-0,01099	-3,06354	-9,49234	-4,63641	-0,43792	0,12051	-4,69118	-0,61302	0,06231	-4,84728
-0,02596	-2,81380	-8,97453	-4,30778	-0,36257	0,19749	-3,75922	-0,49609	0,20579	-3,63581
0,05807	-2,14805	-7,53112	-3,63951	-0,19924	0,14119	-2,83660	-0,27924	0,11634	-2,92198
0,09063	-1,12078	-5,38953	-2,67953	-0,10265	0,06753	-1,50642	-0,12892	0,06985	-1,58430
0,11268	0,09367	-2,85602	-1,51215	0,04968	-0,04545	0,07459	0,07645	0,00037	0,09785
0,09549	1,67266	0,51755	-0,25490	0,08533	-0,15727	1,49428	0,15342	-0,14774	1,25362
0,14813	3,24245	3,75273	0,99110	0,28179	-0,10468	3,24203	0,42376	-0,02568	3,25859
0,17693	4,80815	7,09667	2,07377	0,35891	-0,17604	4,36072	0,50949	-0,15018	4,10947
0,10510	6,06398	9,65273	2,89570	0,32528	-0,10838	5,29332	0,51362	-0,04284	5,17293
0,26211	6,74703	11,12461	3,36022	0,49670	-0,09370	5,51645	0,71087	-0,03846	5,40937
0,21221	6,87641	11,35872	3,41432	0,35233	-0,16110	4,91595	0,53386	-0,13801	4,69425
0,19154	6,20216	9,86578	3,07134	0,31542	-0,11323	3,96199	0,46708	-0,04539	4,02502
0,21831	5,12365	7,52758	2,36644	0,21302	-0,19519	2,27353	0,32346	-0,17829	2,14678
0,11159	3,61255	4,32836	1,40466	0,01517	-0,06625	0,68178	0,06923	-0,01850	0,80176
0,14461	2,04047	1,04549	0,28595	-0,03818	0,01494	-1,06129	-0,07890	0,04016	-1,02427
0,15807	0,58349	-2,06453	-0,85536	-0,14816	0,08859	-2,42321	-0,20834	0,10868	-2,33024
0,01557	-0,68956	-4,61688	-1,90917	-0,34411	0,13481	-3,41131	-0,45264	0,14993	-3,26478
0,08091	-1,49940	-6,33313	-2,78508	-0,28710	0,10353	-4,11332	-0,43640	0,06487	-4,15743
0,09701	-2,13695	-7,63182	-3,39791	-0,32465	0,14285	-4,19562	-0,43575	0,14628	-4,02876
-0,00036	-2,33867	-8,00513	-3,71843	-0,40871	0,06970	-4,21230	-0,54830	0,02872	-4,28764
-0,02615	-2,26609	-7,90807	-3,71468	-0,33008	0,10328	-3,67970	-0,46747	0,09517	-3,66340
0,06130	-1,94786	-7,16630	-3,40046	-0,21871	0,14247	-2,96606	-0,29445	0,13715	-2,94080
0,07586	-1,23586	-5,66221	-2,81271	-0,18167	0,08872	-2,06671	-0,24057	0,07959	-2,18172
0,08380	-0,38125	-3,83203	-1,99854	-0,06409	0,05477	-0,81654	-0,08045	0,09042	-0,78203
0,12724	0,81013	-1,32729	-1,05108	0,03793	-0,05668	0,37951	0,06652	-0,04174	0,23476
0,12711	2,09018	1,41854	-0,04911	0,10442	-0,07123	1,74156	0,18577	-0,02945	1,65985
0,19320	3,37464	4,06583	0,90189	0,26953	-0,14642	2,92383	0,38689	-0,10490	2,83754
0,12943	4,55760	6,48708	1,69270	0,23072	-0,16404	3,76402	0,37052	-0,11768	3,55086
0,19523	5,30474	8,12354	2,24853	0,35296	-0,07825	4,29574	0,52922	-0,01923	4,25889
0,24766	5,71401	8,90995	2,50312	0,34829	-0,11438	4,14239	0,50343	-0,08701	3,95502
0,13523	5,55344	8,50563	2,44376	0,20581	-0,08081	3,62850	0,32759	-0,02434	3,56981
0,23401	4,89219	7,09339	2,08225	0,27420	-0,07162	2,64925	0,39888	-0,02860	2,64003
0,15005	3,95526	5,07102	1,46549	0,08091	-0,10864	1,32842	0,15458	-0,09334	1,25685
0,09539	2,74714	2,54500	0,67339	-0,01580	-0,00702	0,10012	-0,00993	0,04235	0,20176
0,16471	1,57203	0,00398	-0,20603	-0,02440	-0,01353	-1,19833	-0,04809	0,00365	-1,21018
0,07875	0,44862	-2,29354	-1,06823	-0,21137	0,06357	-2,16405	-0,25526	0,08568	-2,05422
0,04518	-0,41727	-4,07698	-1,83816	-0,26877	0,07200	-2,87617	-0,38457	0,08215	-2,84785
0,14732	-1,01760	-5,32695	-2,44303	-0,18862	0,09906	-3,23331	-0,27434	0,09492	-3,19555
0,08646	-1,37534	-5,98695	-2,83458	-0,29039	0,08617	-3,24279	-0,37155	0,08081	-3,16732
-0,00844	-1,36120	-6,00143	-2,99276	-0,31188	0,05451	-3,07908	-0,43420	0,03298	-3,17995
0,07924	-1,22060	-5,69076	-2,90309	-0,16864	0,09370	-2,47795	-0,23580	0,11172	-2,39457
0,08055	-0,77497	-4,70779	-2,59818	-0,15840	0,06868	-1,90021	-0,19054	0,05452	-1,99440
0,02805	-0,11799	-3,36805	-2,10498	-0,12667	0,02374	-1,03285	-0,16012	0,03687	-1,08177
0,11927	0,65112	-1,73313	-1,48059	0,03186	-0,00383	-0,03666	0,05157	0,03042	-0,03739
0,09456	1,62427	0,37112	-0,79928	0,01391	-0,04966	0,80504	0,05647	-0,04332	0,60979
0,14216	2,52164	2,20326	-0,11696	0,15613	-0,04136	1,87265	0,24353	0,01935	1,91524
0,13268	3,42391	4,10307	0,47822	0,17029	-0,12038	2,42903	0,24985	-0,09821	2,20389
0,10031	4,07740	5,47776	0,93138	0,18242	-0,03408	2,96176	0,31018	0,00828	2,92688
0,20349	4,46018	6,17951	1,18127	0,30454	-0,08438	3,07377	0,43730	-0,04734	3,00243
0,10870	4,55206	6,35625	1,20210	0,14349	-0,11476	2,72371	0,23734	-0,08519	2,54424
0,14495	4,14117	5,55159	1,00473	0,19115	-0,02962	2,27113	0,29265	0,02629	2,36530
0,21560	3,62070	4,39503	0,59756	0,15183	-0,11732	1,26470	0,22664	-0,12060	1,10253
0,06557	2,76479	2,57109	0,05012	-0,04425	-0,01302	0,46851	-0,01637	0,04442	0,57602
0,08247	1,86940	0,68365	-0,58397	-0,03224	-0,00906	-0,59594	-0,05737	0,00682	-0,63107
0,18268	1,00831	-1,11417	-1,22748	-0,06005	0,02604	-1,40945	-0,06498	0,03760	-1,36939
0,04563	0,19378	-2,74589	-1,81742	-0,24424	0,06945	-2,00780	-0,31044	0,10271	-1,91266
0,06846	-0,30044	-3,84190	-2,29989	-0,17231	0,04838	-2,51790	-0,26919	0,03091	-2,61012
0,13635	-0,73159	-4,67586	-2,61515	-0,16333	0,10621	-2,49009	-0,19931	0,12754	-2,31954
0,03836	-0,79474	-4,79195	-2,75502	-0,28053	0,03166	-2,55671	-0,36742	0,01533	-2,69573
0,04659	-0,74857	-4,69862	-2,69136	-0,16119	0,06396	-2,12688	-0,24057	0,08056	-2,06505
0,11063	-0,48107	-4,12065	-2,44444	-0,08799	0,05349	-1,67114	-0,10636	0,04941	-1,68705
0,04669	0,05258	-3,02570	-2,03788	-0,14020	-0,00409	-1,06016	-0,16115	0,00450	-1,18207
0,12323	0,58911	-1,80193	-1,50441	0,02604	0,01200	-0,17825	0,02630	0,05343	-0,09605
0,11474	1,41893	-0,06133	-0,91349	0,01188	-0,04213	0,41529	0,03416	-0,05282	0,18139
0,10753	2,13010	1,36182	-0,30030	0,08280	0,00779	1,37924	0,15819	0,07703	1,44159
0,16927	2,86823	2,97141	0,25772	0,18356	-0,07442	1,86128	0,24882	-0,06073	1,70639
0,08451	3,53201	4,27615	0,71325	0,11340	-0,06306	2,32966	0,20357	-0,03298	2,20325
0,19161	3,83669	4,92453	1,01988	0,26055	-0,05425	2,60374	0,38882	0,00584	2,63707
0,16841	4,02034	5,30315	1,13741	0,17231	-0,14527	2,25305	0,25513	-0,14458	2,00510
0,07263	3,74914	4,71740	1,08078	0,10986	-0,03766	2,03713	0,19106	0,02507	2,15246
0,19346	3,39849	3,84516	0,84454	0,18634	-0,10468	1,27785	0,25990	-0,09140	1,13373
0,10810	2,77328	2,63315	0,47846	-0,01239	-0,03089	0,62552	0,03184	0,00584	0,66923
0,08982	2,06891	1,19552	0,02457	-0,02604	0,01698	-0,14538	-0,05054	0,04698	-0,13060
0,21813	1,44492	-0,18888	-0,46169	0,03110	0,00664	-0,84916	0,04009	0,01144	-0,88336
0,12013	0,76060	-1,49951	-0,92268	-0,17193	0,05400	-1,33360	-0,19093	0,08324	-1,21611
0,03685	0,32841	-2,49060	-1,32169	-0,17699	0,00217	-1,87316	-0,27731	-0,01095	-1,99569
0,19109	-0,13505	-3,44836	-1,60187	-0,06270	0,07366	-1,96393	-0,07941	0,09578	-1,82732
0,08695	-0,36500	-3,85794	-1,74972	-0,23906	0,02591	-2,17720	-0,29484	0,01387	-2,25237
0,05570	-0,42286	-4,02688	-1,73406	-0,17509	0,06447	-1,99351	-0,26622	0,07290	-1,99324
0,14622	-0,34005	-3,85461	-1,55370	-0,07421	0,06817	-1,61526	-0,09850	0,09140	-1,56161
0,09563	0,06445	-2,96878	-1,23159	-0,13363	0,04302	-1,17545	-0,14220	0,04113	-1,29397
0,10211	0,58336	-1,87961	-0,78634	-0,00746	0,01966	-0,34576	-0,03210	0,05732	-0,28427
0,14211	1,34117	-0,28331	-0,27591	0,04361	-0,05017	0,32224	0,07207	-0,04673	0,16953
0,10049	2,10432	1,33263	0,25741	0,04374	-0,04774	1,15472	0,11538	-0,01473	1,10588
0,20206	2,80253	2,80667	0,74661	0,22035	-0,06396	1,78922	0,29175	-0,03736	1,74300
0,11203	3,47391	4,12568	1,13003	0,09342	-0,11489	2,15179	0,16347	-0,09115	1,95611
0,16505	3,76260	4,80560	1,37277	0,20442	-0,01443	2,44888	0,33558	0,03566	2,49113
0,23727	3,95344	5,14013	1,43389	0,23249	-0,10174	2,19920	0,31212	-0,09894	2,01799
0,06854	3,77716	4,73339	1,32110	0,03337	-0,03600	1,91703	0,10314	0,01436	1,90944
0,20984	3,36117	3,85667	1,03950	0,17547	-0,04494	1,31982	0,24882	-0,01095	1,30029
0,23982	2,82534	2,75164	0,61886	0,09153	-0,06191	0,55384	0,14993	-0,05927	0,49157
0,01555	2,12474	1,25620	0,11349	-0,12667	-0,01340	-0,10442	-0,14246	0,02909	-0,03777
0,13474	1,47000	-0,18849	-0,42878	0,02693	0,00204	-0,87558	0,01818	0,00146	-0,94138
0,14409	0,78055	-1,56503	-0,94597	-0,10366	0,03702	-1,40060	-0,10920	0,05050	-1,30571
-0,02779	0,26229	-2,66044	-1,39885	-0,26106	0,03983	-1,87771	-0,34460	0,05050	-1,91666
0,09953	-0,13031	-3,48406	-1,73803	-0,09229	0,05566	-2,10198	-0,15599	0,05245	-2,10218
0,13234	-0,40810	-3,97076	-1,93425	-0,15866	0,10442	-2,10944	-0,17765	0,10405	-2,03359
0,00497	-0,36401	-3,96844	-1,97635	-0,24513	0,02540	-2,03662	-0,34035	0,01947	-2,16200
0,09740	-0,29943	-3,75190	-1,84891	-0,08230	0,06613	-1,58151	-0,12570	0,09152	-1,49470
0,14784	0,05190	-2,96919	-1,58089	-0,07990	0,01187	-1,21590	-0,08135	-0,00462	-1,32672
0,08672	0,52263	-2,01721	-1,19001	-0,08104	0,00677	-0,54247	-0,08612	0,03322	-0,56403
0,12445	1,07333	-0,82753	-0,71892	0,02579	-0,03983	0,11403	0,01728	-0,01168	0,07065
0,10424	1,76828	0,65320	-0,21462	0,02200	-0,00919	0,71629	0,07813	-0,00414	0,57395
0,14638	2,37120	1,85620	0,28170	0,13438	-0,01111	1,44713	0,20279	0,04284	1,47549
0,11885	2,98536	3,12063	0,70474	0,12541	-0,07545	1,75003	0,17430	-0,05890	1,54679
0,07706	3,36797	3,94424	1,02253	0,12275	-0,02566	2,09225	0,21749	0,00730	2,08567
0,20081	3,59167	4,34177	1,19428	0,23881	-0,08413	2,10350	0,35066	-0,05416	2,02431
0,12104	3,61078	4,42430	1,20761	0,07977	-0,11030	1,84446	0,13859	-0,08056	1,72173
0,12586	3,33536	3,88547	1,07057	0,11795	-0,01864	1,54422	0,18332	0,02604	1,60699
0,25224	3,05906	3,20672	0,78739	0,15625	-0,08272	0,94044	0,22999	-0,07947	0,81736
0,10104	2,54461	2,17125	0,40008	-0,05006	0,01162	0,46270	-0,02514	0,05744	0,51942
