m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,07958	2,22484	1,58570	0,09307	0,03729	-0,00830	1,07444	0,10185	0,02775	1,04954
0,19635	2,65070	2,44841	0,40314	0,19064	-0,04277	1,36457	0,25475	-0,02556	1,28559
0,09875	2,96057	3,06620	0,62839	0,05234	-0,06715	1,53461	0,10133	-0,03152	1,44430
0,11313	3,04479	3,26419	0,74871	0,12541	-0,04174	1,51527	0,20640	-0,01205	1,47524
0,23740	2,99044	3,12852	0,75313	0,18343	-0,08579	1,24688	0,25990	-0,07923	1,17098
0,05299	2,73552	2,56984	0,65276	-0,04033	-0,04200	0,89037	-0,02140	-0,00377	0,86377
0,13229	2,34802	1,71867	0,46636	0,08243	-0,01800	0,42667	0,11409	0,01217	0,40726
0,19729	1,90315	0,82997	0,22462	0,04260	-0,00766	-0,06536	0,08522	0,00645	-0,05853
0,01148	1,50148	-0,03581	-0,03873	-0,15057	0,03294	-0,46636	-0,18990	0,06633	-0,46012
0,12841	1,18214	-0,74625	-0,29177	0,02528	0,02860	-0,73677	0,01379	0,04515	-0,73665
0,17932	0,92917	-1,19211	-0,50918	-0,03236	0,02681	-0,91224	-0,01018	0,02884	-0,89381
0,00427	0,80781	-1,48974	-0,67357	-0,17990	0,00243	-1,00971	-0,22909	0,01631	-1,05354
0,14284	0,71641	-1,66536	-0,76924	0,00556	0,00166	-0,95990	-0,01702	0,01351	-0,94653
0,14589	0,71844	-1,58971	-0,79608	-0,08167	0,01277	-0,89998	-0,06523	0,01156	-0,92346
0,02622	0,81885	-1,44271	-0,75280	-0,13122	0,01902	-0,72034	-0,16450	0,04089	-0,75638
0,14768	0,96583	-1,13513	-0,64573	0,04880	0,02464	-0,44677	0,04048	0,04065	-0,43743
0,07742	1,21667	-0,56911	-0,49382	-0,06966	0,02272	-0,22718	-0,04615	0,02543	-0,31109
0,04320	1,48654	-0,06776	-0,30834	-0,00632	0,01889	0,17345	0,00477	0,05842	0,18861
